date,series,venue,result
26/10/2003,2003-2004 TVS Cup,Captain Roop Singh Stadium,India won by 37 runs
01/11/2003,2003-2004 TVS Cup,Wankhede Stadium,Australia won by 77 runs
12/11/2003,2003-2004 TVS Cup,M Chinnaswamy Stadium,Australia won by 61 runs
18/11/2003,2003-2004 TVS Cup,Eden Gardens,Australia won by 37 runs
09/01/2004,2003-2004 Australia v. India,Melbourne Cricket Ground,Australia won by 18 runs
18/01/2004,2003-2004 Australia v. India,Brisbane Cricket Ground,India won by 19 runs
22/01/2004,2003-2004 Australia v. India,Sydney Cricket Ground,Australia won by 2 wickets
01/02/2004,2003-2004 Australia v. India,WACA Ground,Australia won by 5 wickets
06/02/2004,2003-2004 Australia v. India,Melbourne Cricket Ground,Australia won by 7 wickets
08/02/2004,2003-2004 Australia v. India,Sydney Cricket Ground,Australia won by 208 runs
23/08/2004,2004-2005 Videocon Cup,VRA Ground,No Result
16/09/2006,2006-2007 DLF Cup,Kinrara Academy Oval,No Result
22/09/2006,2006-2007 DLF Cup,Kinrara Academy Oval,Australia won by 18 runs
29/10/2006,2006-2007 ICC Champions Trophy,Punjab Cricket Association IS Bindra Stadium,Australia won by 6 wickets
29/09/2007,2007-2008 India v. Australia,M Chinnaswamy Stadium,No Result
02/10/2007,2007-2008 India v. Australia,Nehru Stadium (Kochi),Australia won by 84 runs
05/10/2007,2007-2008 India v. Australia,Rajiv Gandhi International Stadium,Australia won by 47 runs
08/10/2007,2007-2008 India v. Australia,Sector 16 Stadium,India won by 8 runs
11/10/2007,2007-2008 India v. Australia,Reliance Stadium,Australia won by 9 wickets
14/10/2007,2007-2008 India v. Australia,Vidarbha Cricket Association Ground,Australia won by 18 runs
17/10/2007,2007-2008 India v. Australia,Wankhede Stadium,India won by 2 wickets
03/02/2008,2007-2008 Commonwealth Bank Series,Brisbane Cricket Ground,No Result
10/02/2008,2007-2008 Commonwealth Bank Series,Melbourne Cricket Ground,India won by 5 wickets
17/02/2008,2007-2008 Commonwealth Bank Series,Adelaide Oval,Australia won by 50 runs
24/02/2008,2007-2008 Commonwealth Bank Series,Sydney Cricket Ground,Australia won by 18 runs
02/03/2008,2007-2008 Commonwealth Bank Series,Sydney Cricket Ground,India won by 6 wickets
04/03/2008,2007-2008 Commonwealth Bank Series,Brisbane Cricket Ground,India won by 9 runs
28/09/2009,2009-2010 ICC Champions Trophy,SuperSport Park,No Result
25/10/2009,2009-2010 India v. Australia,Reliance Stadium,Australia won by 4 runs
28/10/2009,2009-2010 India v. Australia,Vidarbha Cricket Association Stadium,India won by 99 runs
31/10/2009,2009-2010 India v. Australia,Arun Jaitley Stadium,India won by 6 wickets
02/11/2009,2009-2010 India v. Australia,Punjab Cricket Association IS Bindra Stadium,Australia won by 24 runs
05/11/2009,2009-2010 India v. Australia,Rajiv Gandhi International Stadium,Australia won by 3 runs
08/11/2009,2009-2010 India v. Australia,Nehru Stadium (Guwahati),Australia won by 6 wickets
20/10/2010,2010-2011 India v. Australia,Dr YS Rajasekhara Reddy Cricket Stadium,India won by 5 wickets
